Operator Name,Operator ID,Operator Type,State,Total Main Miles,Main Mileage Average Age,Main Miles over 50 Years Old,Main Miles Built in Unknown Decade,Pre-1940,1940-49,1950-59,1960-69,1970-79,1980-89,1990-99,2000-09,2010-19,2020-29
Statewide Total,,Total,CA,107898.58099999998,30.526315789473685,45510,394.0,4260.0,6202.0,15821.0,15048.0,14936.0,17506.0,12794.0,13904.0,6605.0,423.0
Statewide Total,,Cooperative,CA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statewide Total,,Privately Owned,CA,3412.272,26.125,282,123.0,0.0,0.0,149.0,94.0,265.0,480.0,612.0,1084.0,563.0,37.0
Statewide Total,,Investor Owned,CA,103178.59,44.75,44561,256.0,4238.0,6144.0,15362.0,14728.0,14556.0,16955.0,12078.0,12579.0,5894.0,384.0
Statewide Total,,Municipal Owned,CA,1307.7190000000003,27.428571428571427,667,14.0,22.0,57.0,309.0,225.0,115.0,70.0,103.0,240.0,147.0,1.0
CITY OF VICTORVILLE,32119,Municipal Owned,CA,11.15,8.0,0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,7.76,0.0
AMERIGAS PROPANE LP,32013,Privately Owned,CA,65.9,25.0,6,2.5,0.0,0.0,0.0,5.45,7.09,4.62,8.87,34.2,3.17,0.0
KAMPS PROPANE,31964,Privately Owned,CA,6.19,44.0,1,0.0,0.0,0.0,0.0,0.715,3.415,2.13,0.0,0.0,0.0,0.0
CITY OF VERNON,31955,Municipal Owned,CA,44.286,21.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.041,0.144,0.101
CITY OF SUSANVILLE,31599,Municipal Owned,CA,60.0,15.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,1.0,0.0
ALPINE NATURAL GAS,31515,Privately Owned,CA,42.37,13.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.65,8.72,0.0
WEST COAST GAS CO INC,31267,Privately Owned,CA,40.0,45.0,24,0.0,0.0,0.0,5.0,19.0,6.0,0.0,0.0,10.0,0.0,0.0
ISLAND ENERGY,31097,Municipal Owned,CA,21.16,27.0,0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,5.3,2.16,0.0
TRANSMONTAIGNE OPERATING COMPANY L.P.,30909,Privately Owned,CA,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SUBURBAN PROPANE,18684,Privately Owned,CA,25.0,0.0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTHWEST GAS CORP,18536,Privately Owned,CA,3201.562,24.0,225,96.279,0.0,0.005,118.792,69.366,248.859,472.841,603.193,1003.314,551.146,37.767
SOUTHERN CALIFORNIA GAS CO,18484,Investor Owned,CA,51424.0,45.0,21845,0.0,2662.0,2847.0,8074.0,7040.0,6915.0,9475.0,5456.0,6283.0,2569.0,103.0
SOUTHERN CALIFORNIA EDISON CO,18480,Investor Owned,CA,9.46,50.0,7,0.0,0.0,0.0,0.0,7.76,0.51,0.21,0.0,0.81,0.17,0.0
SAN DIEGO GAS & ELECTRIC CO,18112,Investor Owned,CA,8236.0,41.0,3005,0.0,182.0,272.0,1148.0,1101.0,1414.0,1537.0,1038.0,1009.0,507.0,28.0
"PALO ALTO, CITY OF",15084,Municipal Owned,CA,210.573,38.0,57,1.995,16.952,10.301,30.365,2.719,25.249,12.752,33.912,48.316,27.847,0.166
PACIFIC GAS & ELECTRIC CO,15007,Investor Owned,CA,43509.13,43.0,19704,256.92,1394.57,3025.27,6140.27,6579.46,6226.71,5942.93,5584.37,5286.42,2818.47,253.74
FERRELLGAS,13772,Privately Owned,CA,31.25,58.0,26,0.0,0.0,0.0,26.0,0.0,0.0,1.35,0.4,3.5,0.0,0.0
"LONG BEACH GAS DEPT, CITY OF",11712,Municipal Owned,CA,917.45,46.0,600,0.0,5.09,45.61,275.46,220.61,87.06,39.01,34.34,101.09,108.44,0.74
"COALINGA, CITY OF",2524,Municipal Owned,CA,43.1,37.0,10,11.0,0.0,2.0,4.0,2.0,3.0,5.0,10.5,5.5,0.0,0.0
